Ensembl_gene	Cancer_type	Gene_name	count
ENSG00000138413	TCGA-LGG	IDH1	68
ENSG00000117713	TCGA-LUAD	ARID1A	68
ENSG00000157764	TCGA-THCA	BRAF	68
ENSG00000125952	TCGA-BRCA	MAX	67
ENSG00000129514	TCGA-BRCA	FOXA1	67
ENSG00000141510	TCGA-BRCA	TP53	67
ENSG00000118046	TCGA-LUAD	STK11	67
ENSG00000128731	TCGA-THCA	HERC2	67
ENSG00000065526	TCGA-BRCA	SPEN	66
ENSG00000131941	TCGA-BRCA	RHPN2	66
ENSG00000133895	TCGA-BRCA	MEN1	66
ENSG00000147050	TCGA-BRCA	KDM6A	66
ENSG00000163629	TCGA-BRCA	PTPN13	66
ENSG00000198455	TCGA-BRCA	ZXDB	66
ENSG00000079999	TCGA-LUAD	KEAP1	66
ENSG00000196712	TCGA-LUAD	NF1	66
ENSG00000091831	TCGA-BRCA	ESR1	65
ENSG00000102974	TCGA-BRCA	CTCF	65
ENSG00000123364	TCGA-BRCA	HOXC13	65
ENSG00000139618	TCGA-BRCA	BRCA2	65
ENSG00000141027	TCGA-BRCA	NCOR1	65
ENSG00000171094	TCGA-BRCA	ALK	65
ENSG00000183454	TCGA-BRCA	GRIN2A	65
ENSG00000055609	TCGA-KIRP	KMT2C	65
ENSG00000174197	TCGA-LUAD	MGA	65
ENSG00000180611	TCGA-LUAD	MB21D2	65
ENSG00000189079	TCGA-LUAD	ARID2	65
ENSG00000142208	TCGA-THCA	AKT1	65
ENSG00000171862	TCGA-THCA	PTEN	65
ENSG00000005339	TCGA-BRCA	CREBBP	64
ENSG00000136826	TCGA-BRCA	KLF4	64
ENSG00000139687	TCGA-LUAD	RB1	64
ENSG00000141510	TCGA-LUAD	TP53	64
ENSG00000127616	TCGA-COAD	SMARCA4	63
ENSG00000010671	TCGA-LUAD	BTK	63
ENSG00000140396	TCGA-LUAD	NCOA2	63
ENSG00000182901	TCGA-LUAD	RGS7	63
ENSG00000119636	TCGA-THYM	CCDC176	63
ENSG00000128928	TCGA-THYM	IVD	63
ENSG00000134086	TCGA-THYM	VHL	63
ENSG00000158156	TCGA-THYM	XKR8	63
ENSG00000183337	TCGA-THYM	BCOR	63
ENSG00000198554	TCGA-THYM	WDHD1	63
ENSG00000213413	TCGA-THYM	PVRIG	63
ENSG00000243073	TCGA-THYM	PRAMEF4	63
ENSG00000055609	TCGA-BRCA	KMT2C	62
ENSG00000095015	TCGA-BRCA	MAP3K1	62
ENSG00000141646	TCGA-BRCA	SMAD4	62
ENSG00000153707	TCGA-BRCA	PTPRD	62
ENSG00000138336	TCGA-KIRP	TET1	62
ENSG00000163939	TCGA-KIRP	PBRM1	62
ENSG00000186575	TCGA-KIRP	NF2	62
ENSG00000184634	TCGA-LGG	MED12	62
ENSG00000149311	TCGA-LUAD	ATM	62
ENSG00000165731	TCGA-LUAD	RET	62
ENSG00000171681	TCGA-LUAD	ATF7IP	62
ENSG00000182872	TCGA-LUAD	RBM10	62
ENSG00000100285	TCGA-THCA	NEFH	62
ENSG00000066117	TCGA-BRCA	SMARCD1	61
ENSG00000096968	TCGA-BRCA	JAK2	61
ENSG00000133392	TCGA-BRCA	MYH11	61
ENSG00000143322	TCGA-BRCA	ABL2	61
ENSG00000178568	TCGA-BRCA	ERBB4	61
ENSG00000196914	TCGA-BRCA	ARHGEF12	61
ENSG00000198400	TCGA-BRCA	NTRK1	61
ENSG00000040731	TCGA-LUAD	CDH10	61
ENSG00000121879	TCGA-LUAD	PIK3CA	61
ENSG00000149311	TCGA-THCA	ATM	61
ENSG00000153165	TCGA-THCA	RGPD3	61
ENSG00000165731	TCGA-THCA	RET	61
ENSG00000174775	TCGA-THCA	HRAS	61
ENSG00000137497	TCGA-BRCA	NUMA1	60
ENSG00000142208	TCGA-BRCA	AKT1	60
ENSG00000149311	TCGA-BRCA	ATM	60
ENSG00000085185	TCGA-COAD	BCORL1	60
ENSG00000121879	TCGA-KIRP	PIK3CA	60
ENSG00000197993	TCGA-LGG	KEL	60
ENSG00000134371	TCGA-LUAD	CDC73	60
ENSG00000189079	TCGA-THCA	ARID2	60
ENSG00000083799	TCGA-THYM	CYLD	60
ENSG00000115524	TCGA-THYM	SF3B1	60
ENSG00000122012	TCGA-THYM	SV2C	60
ENSG00000124222	TCGA-THYM	STX16	60
ENSG00000136247	TCGA-THYM	ZDHHC4	60
ENSG00000156253	TCGA-THYM	RWDD2B	60
ENSG00000183208	TCGA-THYM	GDPGP1	60
ENSG00000253873	TCGA-THYM	PCDHGA11	60
ENSG00000049540	TCGA-BRCA	ELN	59
ENSG00000049618	TCGA-BRCA	ARID1B	59
ENSG00000087460	TCGA-BRCA	GNAS	59
ENSG00000109670	TCGA-BRCA	FBXW7	59
ENSG00000157764	TCGA-BRCA	BRAF	59
ENSG00000257923	TCGA-BRCA	CUX1	59
ENSG00000145675	TCGA-LGG	PIK3R1	59
ENSG00000147889	TCGA-LUAD	CDKN2A	59
ENSG00000257923	TCGA-LUAD	CUX1	59
ENSG00000121067	TCGA-UCEC	SPOP	59
ENSG00000133703	TCGA-BRCA	KRAS	58
ENSG00000141736	TCGA-BRCA	ERBB2	58
ENSG00000181722	TCGA-LGG	ZBTB20	58
ENSG00000196159	TCGA-LUAD	FAT4	58
ENSG00000186575	TCGA-OV	NF2	58
ENSG00000165323	TCGA-THCA	FAT3	58
ENSG00000128714	TCGA-BRCA	HOXD13	57
ENSG00000147140	TCGA-BRCA	NONO	57
ENSG00000183337	TCGA-COAD	BCOR	57
ENSG00000126883	TCGA-KIRP	NUP214	57
ENSG00000163930	TCGA-KIRP	BAP1	57
ENSG00000171862	TCGA-KIRP	PTEN	57
ENSG00000129204	TCGA-THCA	USP6	57
ENSG00000180370	TCGA-THCA	PAK2	57
ENSG00000157388	TCGA-BRCA	CACNA1D	56
ENSG00000174775	TCGA-BRCA	HRAS	56
ENSG00000196159	TCGA-BRCA	FAT4	56
ENSG00000215301	TCGA-BRCA	DDX3X	56
ENSG00000083168	TCGA-KIRP	KAT6A	56
ENSG00000173575	TCGA-KIRP	CHD2	56
ENSG00000037280	TCGA-LUAD	FLT4	56
ENSG00000133703	TCGA-LUAD	KRAS	56
ENSG00000180917	TCGA-LUAD	CMTR2	56
ENSG00000213281	TCGA-LUAD	NRAS	56
ENSG00000144476	TCGA-OV	ACKR3	56
ENSG00000174775	TCGA-PRAD	HRAS	56
ENSG00000168702	TCGA-THCA	LRP1B	56
ENSG00000100345	TCGA-BRCA	MYH9	55
ENSG00000115524	TCGA-BRCA	SF3B1	55
ENSG00000167548	TCGA-BRCA	KMT2D	55
ENSG00000182901	TCGA-BRCA	RGS7	55
ENSG00000117713	TCGA-KIRP	ARID1A	55
ENSG00000079102	TCGA-LGG	RUNX1T1	55
ENSG00000134853	TCGA-LGG	PDGFRA	55
ENSG00000127616	TCGA-LUAD	SMARCA4	55
ENSG00000128052	TCGA-LUAD	KDR	55
ENSG00000062822	TCGA-BRCA	POLD1	54
ENSG00000147050	TCGA-KIRP	KDM6A	54
ENSG00000049618	TCGA-LGG	ARID1B	54
ENSG00000080824	TCGA-BRCA	HSP90AA1	53
ENSG00000111276	TCGA-BRCA	CDKN1B	53
ENSG00000135111	TCGA-BRCA	TBX3	53
ENSG00000133703	TCGA-KIRP	KRAS	53
ENSG00000141510	TCGA-LGG	TP53	53
ENSG00000130779	TCGA-LUAD	CLIP1	53
ENSG00000168036	TCGA-LUAD	CTNNB1	53
ENSG00000133703	TCGA-TGCT	KRAS	53
ENSG00000105568	TCGA-THCA	PPP2R1A	53
ENSG00000178104	TCGA-THCA	PDE4DIP	53
ENSG00000101115	TCGA-BRCA	SALL4	52
ENSG00000107485	TCGA-BRCA	GATA3	52
ENSG00000109906	TCGA-BRCA	ZBTB16	52
ENSG00000196498	TCGA-BRCA	NCOR2	52
ENSG00000148737	TCGA-COAD	TCF7L2	52
ENSG00000141510	TCGA-KIRP	TP53	52
ENSG00000157764	TCGA-LGG	BRAF	52
ENSG00000055609	TCGA-LUAD	KMT2C	52
ENSG00000106462	TCGA-LUAD	EZH2	52
ENSG00000160201	TCGA-LUAD	U2AF1	52
ENSG00000139687	TCGA-OV	RB1	52
ENSG00000119772	TCGA-THCA	DNMT3A	52
ENSG00000065361	TCGA-BRCA	ERBB3	51
ENSG00000175387	TCGA-BRCA	SMAD2	51
ENSG00000125398	TCGA-COAD	SOX9	51
ENSG00000174775	TCGA-COAD	HRAS	51
ENSG00000123080	TCGA-LGG	CDKN2C	51
ENSG00000171862	TCGA-LGG	PTEN	51
ENSG00000157764	TCGA-LUAD	BRAF	51
ENSG00000148400	TCGA-TGCT	NOTCH1	51
ENSG00000064012	TCGA-BRCA	CASP8	50
ENSG00000142798	TCGA-COAD	HSPG2	50
ENSG00000101972	TCGA-KIRP	STAG2	50
ENSG00000168702	TCGA-OV	LRP1B	50
ENSG00000121879	TCGA-TGCT	PIK3CA	50
ENSG00000131941	TCGA-THCA	RHPN2	50
ENSG00000213281	TCGA-UCEC	NRAS	50
ENSG00000113721	TCGA-BRCA	PDGFRB	49
ENSG00000198793	TCGA-BRCA	MTOR	49
ENSG00000141510	TCGA-HNSC	TP53	49
ENSG00000119772	TCGA-KIRP	DNMT3A	49
ENSG00000157404	TCGA-LGG	KIT	49
ENSG00000179295	TCGA-LGG	PTPN11	49
ENSG00000079432	TCGA-LUAD	CIC	49
ENSG00000135333	TCGA-LUAD	EPHA7	49
ENSG00000105568	TCGA-OV	PPP2R1A	49
ENSG00000133703	TCGA-OV	KRAS	49
ENSG00000077782	TCGA-PCPG	FGFR1	49
ENSG00000204217	TCGA-STAD	BMPR2	49
ENSG00000157404	TCGA-TGCT	KIT	49
ENSG00000198793	TCGA-UCEC	MTOR	49
ENSG00000196712	TCGA-BRCA	NF1	48
ENSG00000157764	TCGA-COAD	BRAF	48
ENSG00000101096	TCGA-SARC	NFATC2	48
ENSG00000101972	TCGA-THCA	STAG2	48
ENSG00000109670	TCGA-BLCA	FBXW7	47
ENSG00000147889	TCGA-BRCA	CDKN2A	47
ENSG00000100503	TCGA-COAD	NIN	47
ENSG00000111266	TCGA-COAD	DUSP16	47
ENSG00000121989	TCGA-COAD	ACVR2A	47
ENSG00000105976	TCGA-LGG	MET	47
ENSG00000147889	TCGA-LGG	CDKN2A	47
ENSG00000164190	TCGA-LGG	NIPBL	47
ENSG00000182054	TCGA-LGG	IDH2	47
ENSG00000213281	TCGA-TGCT	NRAS	47
ENSG00000160007	TCGA-UCEC	ARHGAP35	47
ENSG00000064012	TCGA-CESC	CASP8	46
ENSG00000121879	TCGA-COAD	PIK3CA	46
ENSG00000171862	TCGA-COAD	PTEN	46
ENSG00000118058	TCGA-OV	KMT2A	46
ENSG00000187514	TCGA-TGCT	PTMA	46
ENSG00000100393	TCGA-COAD	EP300	45
ENSG00000154803	TCGA-COAD	FLCN	45
ENSG00000085224	TCGA-LGG	ATRX	45
ENSG00000127616	TCGA-LGG	SMARCA4	45
ENSG00000198793	TCGA-LGG	MTOR	45
ENSG00000168702	TCGA-LUAD	LRP1B	45
ENSG00000152217	TCGA-THCA	SETBP1	45
ENSG00000160201	TCGA-UCEC	U2AF1	45
ENSG00000115760	TCGA-PCPG	BIRC6	44
ENSG00000152217	TCGA-PCPG	SETBP1	44
ENSG00000055609	TCGA-UCEC	KMT2C	44
ENSG00000121879	TCGA-UCEC	PIK3CA	44
ENSG00000166949	TCGA-COAD	SMAD3	43
ENSG00000198793	TCGA-COAD	MTOR	43
ENSG00000128191	TCGA-THCA	DGCR8	43
ENSG00000102974	TCGA-UCEC	CTCF	43
ENSG00000186174	TCGA-COAD	BCL9L	42
ENSG00000124181	TCGA-LGG	PLCG1	42
ENSG00000181555	TCGA-LGG	SETD2	42
ENSG00000121879	TCGA-OV	PIK3CA	42
ENSG00000196712	TCGA-OV	NF1	42
ENSG00000055609	TCGA-PCPG	KMT2C	42
ENSG00000165731	TCGA-PCPG	RET	42
ENSG00000124145	TCGA-STAD	SDC4	42
ENSG00000110092	TCGA-UCEC	CCND1	42
ENSG00000167548	TCGA-UCEC	KMT2D	42
ENSG00000171862	TCGA-UCEC	PTEN	42
ENSG00000100393	TCGA-BLCA	EP300	41
ENSG00000141646	TCGA-CESC	SMAD4	41
ENSG00000184634	TCGA-CESC	MED12	41
ENSG00000087460	TCGA-COAD	GNAS	41
ENSG00000135111	TCGA-COAD	TBX3	41
ENSG00000196159	TCGA-COAD	FAT4	41
ENSG00000181555	TCGA-KIRP	SETD2	41
ENSG00000121879	TCGA-LGG	PIK3CA	41
ENSG00000157554	TCGA-OV	ERG	41
ENSG00000133703	TCGA-THCA	KRAS	41
ENSG00000141510	TCGA-THCA	TP53	41
ENSG00000131051	TCGA-UCEC	RBM39	41
ENSG00000133703	TCGA-UCEC	KRAS	41
ENSG00000163930	TCGA-UVM	BAP1	41
ENSG00000132002	TCGA-BLCA	DNAJB1	40
ENSG00000083857	TCGA-CESC	FAT1	40
ENSG00000105568	TCGA-COAD	PPP2R1A	40
ENSG00000131023	TCGA-COAD	LATS1	40
ENSG00000149311	TCGA-COAD	ATM	40
ENSG00000182872	TCGA-COAD	RBM10	40
ENSG00000079432	TCGA-LGG	CIC	40
ENSG00000139718	TCGA-OV	SETD1B	40
ENSG00000141510	TCGA-OV	TP53	40
ENSG00000064012	TCGA-STAD	CASP8	40
ENSG00000116128	TCGA-STAD	BCL9	40
ENSG00000149311	TCGA-STAD	ATM	40
ENSG00000196159	TCGA-TGCT	FAT4	40
ENSG00000088256	TCGA-UVM	GNA11	40
ENSG00000115524	TCGA-UVM	SF3B1	40
ENSG00000156052	TCGA-UVM	GNAQ	40
ENSG00000077782	TCGA-BLCA	FGFR1	39
ENSG00000065559	TCGA-COAD	MAP2K4	39
ENSG00000107779	TCGA-COAD	BMPR1A	39
ENSG00000160294	TCGA-HNSC	MCM3AP	39
ENSG00000036257	TCGA-KIRP	CUL3	39
ENSG00000146648	TCGA-LGG	EGFR	39
ENSG00000083857	TCGA-OV	FAT1	39
ENSG00000160201	TCGA-PRAD	U2AF1	39
ENSG00000181555	TCGA-SARC	SETD2	39
ENSG00000128513	TCGA-UCEC	POT1	39
ENSG00000139687	TCGA-UCEC	RB1	39
ENSG00000152207	TCGA-UVM	CYSLTR2	39
ENSG00000173575	TCGA-BLCA	CHD2	38
ENSG00000173821	TCGA-BLCA	RNF213	38
ENSG00000044524	TCGA-COAD	EPHA3	38
ENSG00000100345	TCGA-COAD	MYH9	38
ENSG00000104408	TCGA-COAD	EIF3E	38
ENSG00000141510	TCGA-COAD	TP53	38
ENSG00000169032	TCGA-COAD	MAP2K1	38
ENSG00000175387	TCGA-COAD	SMAD2	38
ENSG00000179295	TCGA-COAD	PTPN11	38
ENSG00000115760	TCGA-HNSC	BIRC6	38
ENSG00000171862	TCGA-HNSC	PTEN	38
ENSG00000119772	TCGA-LGG	DNMT3A	38
ENSG00000162613	TCGA-LGG	FUBP1	38
ENSG00000198795	TCGA-LUSC	ZNF521	38
ENSG00000055609	TCGA-OV	KMT2C	38
ENSG00000168702	TCGA-PRAD	LRP1B	38
ENSG00000173674	TCGA-PRAD	EIF1AX	38
ENSG00000198793	TCGA-SARC	MTOR	38
ENSG00000173821	TCGA-UCEC	RNF213	38
ENSG00000166710	TCGA-CESC	B2M	37
ENSG00000198053	TCGA-CESC	SIRPA	37
ENSG00000127870	TCGA-COAD	RNF6	37
ENSG00000133703	TCGA-COAD	KRAS	37
ENSG00000144554	TCGA-COAD	FANCD2	37
ENSG00000165323	TCGA-COAD	FAT3	37
ENSG00000148400	TCGA-LGG	NOTCH1	37
ENSG00000141510	TCGA-LIHC	TP53	37
ENSG00000147724	TCGA-LUSC	FAM135B	37
ENSG00000012048	TCGA-OV	BRCA1	37
ENSG00000116016	TCGA-PCPG	EPAS1	37
ENSG00000174775	TCGA-PCPG	HRAS	37
ENSG00000130940	TCGA-PRAD	CASZ1	37
ENSG00000157404	TCGA-SARC	KIT	37
ENSG00000138336	TCGA-STAD	TET1	37
ENSG00000165671	TCGA-STAD	NSD1	37
ENSG00000080824	TCGA-THCA	HSP90AA1	37
ENSG00000196712	TCGA-THCA	NF1	37
ENSG00000136014	TCGA-UCEC	USP44	37
ENSG00000149311	TCGA-UCEC	ATM	37
ENSG00000005339	TCGA-BLCA	CREBBP	36
ENSG00000046889	TCGA-BLCA	PREX2	36
ENSG00000027697	TCGA-CESC	IFNGR1	36
ENSG00000167548	TCGA-CESC	KMT2D	36
ENSG00000206503	TCGA-CESC	HLA-A	36
ENSG00000100697	TCGA-COAD	DICER1	36
ENSG00000145715	TCGA-HNSC	RASA1	36
ENSG00000167258	TCGA-OV	CDK12	36
ENSG00000173821	TCGA-PRAD	RNF213	36
ENSG00000145675	TCGA-SARC	PIK3R1	36
ENSG00000095015	TCGA-UCEC	MAP3K1	36
ENSG00000175054	TCGA-UCEC	ATR	36
ENSG00000237649	TCGA-UCEC	KIFC1	36
ENSG00000083857	TCGA-UVM	FAT1	36
ENSG00000178568	TCGA-BLCA	ERBB4	35
ENSG00000026103	TCGA-CESC	FAS	35
ENSG00000161547	TCGA-CESC	SRSF2	35
ENSG00000055609	TCGA-LUSC	KMT2C	35
ENSG00000213281	TCGA-OV	NRAS	35
ENSG00000167548	TCGA-PRAD	KMT2D	35
ENSG00000085224	TCGA-SARC	ATRX	35
ENSG00000139687	TCGA-SARC	RB1	35
ENSG00000173575	TCGA-SARC	CHD2	35
ENSG00000117713	TCGA-STAD	ARID1A	35
ENSG00000130779	TCGA-STAD	CLIP1	35
ENSG00000066468	TCGA-UCEC	FGFR2	35
ENSG00000116044	TCGA-UCEC	NFE2L2	35
ENSG00000142208	TCGA-UCEC	AKT1	35
ENSG00000257923	TCGA-UCEC	CUX1	35
ENSG00000168702	TCGA-UVM	LRP1B	35
ENSG00000103197	TCGA-BLCA	TSC2	34
ENSG00000108821	TCGA-CESC	COL1A1	34
ENSG00000108375	TCGA-COAD	RNF43	34
ENSG00000116044	TCGA-HNSC	NFE2L2	34
ENSG00000066468	TCGA-LUSC	FGFR2	34
ENSG00000167548	TCGA-OV	KMT2D	34
ENSG00000083168	TCGA-PRAD	KAT6A	34
ENSG00000099949	TCGA-PRAD	LZTR1	34
ENSG00000114861	TCGA-PRAD	FOXP1	34
ENSG00000129204	TCGA-PRAD	USP6	34
ENSG00000138413	TCGA-SARC	IDH1	34
ENSG00000141646	TCGA-STAD	SMAD4	34
ENSG00000157404	TCGA-STAD	KIT	34
ENSG00000055609	TCGA-THCA	KMT2C	34
ENSG00000162434	TCGA-UCEC	JAK1	34
ENSG00000051382	TCGA-BLCA	PIK3CB	33
ENSG00000133703	TCGA-BLCA	KRAS	33
ENSG00000147889	TCGA-BLCA	CDKN2A	33
ENSG00000169032	TCGA-BLCA	MAP2K1	33
ENSG00000055609	TCGA-CESC	KMT2C	33
ENSG00000171862	TCGA-CESC	PTEN	33
ENSG00000115760	TCGA-COAD	BIRC6	33
ENSG00000177426	TCGA-COAD	TGIF1	33
ENSG00000138829	TCGA-HNSC	FBN2	33
ENSG00000196090	TCGA-HNSC	PTPRT	33
ENSG00000196367	TCGA-HNSC	TRRAP	33
ENSG00000141510	TCGA-KICH	TP53	33
ENSG00000138592	TCGA-LUSC	USP8	33
ENSG00000196712	TCGA-LUSC	NF1	33
ENSG00000141736	TCGA-OV	ERBB2	33
ENSG00000162434	TCGA-OV	JAK1	33
ENSG00000197888	TCGA-OV	UGT2B17	33
ENSG00000196712	TCGA-PCPG	NF1	33
ENSG00000109906	TCGA-PRAD	ZBTB16	33
ENSG00000141510	TCGA-PRAD	TP53	33
ENSG00000134982	TCGA-SKCM	APC	33
ENSG00000029363	TCGA-STAD	BCLAF1	33
ENSG00000131747	TCGA-STAD	TOP2A	33
ENSG00000134982	TCGA-STAD	APC	33
ENSG00000157168	TCGA-STAD	NRG1	33
ENSG00000173039	TCGA-STAD	RELA	33
ENSG00000189079	TCGA-STAD	ARID2	33
ENSG00000189283	TCGA-STAD	FHIT	33
ENSG00000115760	TCGA-TGCT	BIRC6	33
ENSG00000168702	TCGA-TGCT	LRP1B	33
ENSG00000083857	TCGA-UCEC	FAT1	33
ENSG00000085276	TCGA-UCEC	MECOM	33
ENSG00000097007	TCGA-UCEC	ABL1	33
ENSG00000105568	TCGA-UCEC	PPP2R1A	33
ENSG00000135605	TCGA-UCEC	TEC	33
ENSG00000141510	TCGA-UCEC	TP53	33
ENSG00000145675	TCGA-UCEC	PIK3R1	33
ENSG00000148400	TCGA-UCEC	NOTCH1	33
ENSG00000134982	TCGA-UVM	APC	33
ENSG00000102699	TCGA-COAD	PARP4	32
ENSG00000134982	TCGA-COAD	APC	32
ENSG00000146648	TCGA-COAD	EGFR	32
ENSG00000196498	TCGA-COAD	NCOR2	32
ENSG00000145675	TCGA-HNSC	PIK3R1	32
ENSG00000174775	TCGA-HNSC	HRAS	32
ENSG00000196712	TCGA-LGG	NF1	32
ENSG00000140396	TCGA-LUSC	NCOA2	32
ENSG00000127329	TCGA-OV	PTPRB	32
ENSG00000131023	TCGA-OV	LATS1	32
ENSG00000213281	TCGA-PRAD	NRAS	32
ENSG00000085185	TCGA-SARC	BCORL1	32
ENSG00000198157	TCGA-SARC	HMGN5	32
ENSG00000005889	TCGA-SKCM	ZFX	32
ENSG00000132155	TCGA-SKCM	RAF1	32
ENSG00000100345	TCGA-STAD	MYH9	32
ENSG00000140538	TCGA-STAD	NTRK3	32
ENSG00000168036	TCGA-STAD	CTNNB1	32
ENSG00000121989	TCGA-UCEC	ACVR2A	32
ENSG00000171681	TCGA-UCEC	ATF7IP	32
ENSG00000101333	TCGA-UVM	PLCB4	32
ENSG00000105568	TCGA-UVM	PPP2R1A	32
ENSG00000173674	TCGA-UVM	EIF1AX	32
ENSG00000055609	TCGA-BLCA	KMT2C	31
ENSG00000120063	TCGA-BLCA	GNA13	31
ENSG00000127616	TCGA-BLCA	SMARCA4	31
ENSG00000139263	TCGA-BLCA	LRIG3	31
ENSG00000174775	TCGA-BLCA	HRAS	31
ENSG00000142208	TCGA-CESC	AKT1	31
ENSG00000129204	TCGA-COAD	USP6	31
ENSG00000139618	TCGA-COAD	BRCA2	31
ENSG00000067560	TCGA-HNSC	RHOA	31
ENSG00000051341	TCGA-LUSC	POLQ	31
ENSG00000083857	TCGA-LUSC	FAT1	31
ENSG00000091831	TCGA-LUSC	ESR1	31
ENSG00000099994	TCGA-LUSC	SUSD2	31
ENSG00000115414	TCGA-LUSC	FN1	31
ENSG00000100345	TCGA-OV	MYH9	31
ENSG00000105656	TCGA-OV	ELL	31
ENSG00000157764	TCGA-OV	BRAF	31
ENSG00000046889	TCGA-PRAD	PREX2	31
